t5_30,"Доля научных работников, имеющих ученые степени, %"
2.3999999999999999,"Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Web of Science, в расчете на 100 НПР, ед."
1.3999999999999999,"Усредненный по реализуемым направлениям (специальностям) минимальный балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме на программы бакалавриата и специалитета, балл"
2.1000000000000001,"Доходы от НИОКР (за исключением средств бюджетов бюджетной системы Российской Федерации, государственных фондов поддержки науки) в расчете на одного НПР, тыс.руб."
2.1000000000000001,"Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Web of Science в расчете на 100 НПР, ед."
5.2000000000000002,"имеющихся на праве собственности, м"
t5_13
3.7999999999999998,"Удельный вес численности иностранных граждан из числа НПР в общей численности НПР, %"
t2_2_E.4,"Финансово-экономическая деятельность, Пороговое значение"
t4_4_11.00.00_1,"11.00.00 - Электроника, радиотехника и системы связи, Приведенный контингент студентов"
t4_4_09.00.00_2,"09.00.00 - Информатика и вычислительная техника, Доля приведенного контингента студентов по   от общего приведенного контингента студентов организации"
t5_26,"Общая численность работников образовательной организации (без внешних совместителей и работающих по договорам ГПХ), чел."
t5_49,"Площадь общежитий, м"
t5_4,"чел., 673"
t5_10,"Общая численность обучающихся по программам среднего профессионального образования, чел."
t5_34,"Средняя заработная плата научных работников (без внешних совместителей и работающих по договорам ГПХ), тыс. руб."
t5_51,"Доля студентов, не обеспеченных собственным общежитием, в числе студентов, нуждающихся в общежитии, %"
2.1299999999999999,"Удельный вес численности НПР без ученой степени – до 30 лет, кандидатов наук – до 35 лет, докторов наук – до 40 лет, в общей численности НПР, %"
2.2999999999999998,"Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в Российском индексе научного цитирования (далее – РИНЦ) в расчете на 100 НПР, ед."
7.2999999999999998,"Удельный вес НПР, имеющих ученую степень кандидата и доктора наук, в общей численности НПР образовательной организации (без совместителей и работающих по договорам гражданско-правового характера), %"
2.8999999999999999,"Удельный вес НИОКР, выполненных собственными силами (без привлечения соисполнителей), в общих доходах образовательной организации от НИОКР, %"
t5_46,"Общая площадь зданий (помещений), м"
4.2999999999999998,"Отношение средней заработной платы НПР в образовательной организации (из всех источников) к средней заработной плате по экономике региона, %"
t5_11,"Число предприятий, с которыми заключены договоры на подготовку специалистов, ед."
t5_36,"Общая численность иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, чел."
t5_12,"Число предприятий, являющихся базами практики, с которыми оформлены договорные отношения, ед."
4.2000000000000002,"Доля доходов из средств от приносящей доход деятельности в доходах по всем видам финансового обеспечения (деятельности) образовательной организации, %"
t5_20,"Количество малых предприятий, ед."
4.0999999999999996,"Доходы образовательной организации из средств от приносящей доход деятельности в расчете на одного НПР, тыс.руб."
3.8999999999999999,"Численность зарубежных ведущих профессоров, преподавателей и исследователей, работающих в образовательной организации не менее 1 семестра, человек"
3.3999999999999999,"Удельный вес численности иностранных студентов (кроме стран СНГ), завершивших освоение образовательных программ бакалавриата, программ специалитета, программ магистратуры, в общей численности студентов (приведенный контингент), %"
t2_1_E.1,"Образовательная деятельность, Значение показателя"
t2_3_E.4,"Финансово-экономическая деятельность, Изменение относительно прошлого года"
2.1099999999999999,"Количество лицензионных соглашений, ед."
t5_64,"Доля внебюджетных средств в доходах от научных исследований и разработок, %"
1.8,"Удельный вес численности студентов, принятых по результатам целевого приема на первый курс на очную форму обучения по программам бакалавриата и специалитета в общей численности студентов, принятых на первый курс по программам бакалавриата и специалитета на очную форму обучения, %"
t4_4_38.00.00_3,"38.00.00 - Экономика и управление, Доля приведенного контингента студентов от общего приведенного контингента студентов, обучающихся по данной   в регионе"
t5_52,"Количество персональных компьютеров, ед."
t2_3_E.7,"Приведенный контингент, Изменение относительно прошлого года"
t5_56,"Доходы филиала  из всех источников, тыс. руб."
t5_60,"Доля доходов филиала  из бюджета субъекта РФ и местного бюджета, %"
1.8999999999999999,"Удельный вес численности студентов (приведенного контингента), обучающихся по программам магистратуры, в общей численности приведенного контингента обучающихся по образовательным программам бакалавриата, специалитета и магистратуры, %"
1.7,"Численность студентов, принятых по результатам целевого приема на первый курс на очную форму обучения по программам бакалавриата и специалитета, человек"
t2_3_E.5,"Заработная плата ППС, Изменение относительно прошлого года"
2.1499999999999999,"Количество научных журналов, в том числе электронных, издаваемых образовательной организацией, ед."
2.5,"Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Scopus, в расчете на 100 НПР, ед."
t5_24,"Число диссертационных советов, ед."
t5_55
t1_6,Учредитель(и)
5.7999999999999998,"Количество экземпляров печатных учебных изданий (включая учебники и учебные пособия) из общего количества единиц хранения библиотечного фонда, состоящих на учете, в расчете на одного студента (приведенного контингента), ед."
t5_45
t5_3,"чел., 0"
2.7999999999999998,"Удельный вес доходов от НИОКР в общих доходах образовательной организации, %"
t2_2_E.5,"Заработная плата ППС, Пороговое значение"
t5_43,"Доходы филиала  от образовательной деятельности из иностранных источников, тыс. руб."
