,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
0,"{'Негосударственное образовательное учреждение (образовательная организация высшего образования) Сибирский независимый институт': ['Приказ от 19.06.1998 №1659', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1310-0a0e-0e10-110f-0c0e0c0e1112/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 24.05.2017 №1103-06'},Постоянное,24.05.2017,29.05.2017,5407138675,"630082, г. Новосибирск, ул. Северная, 23/1",Федеральная служба по надзору в сфере образования и науки,1025403224923,u1,Негосударственное образовательное учреждение (образовательная организация высшего образования) Сибирский независимый институт,2601,90А01 0002729,НОУ СНИ,01.04.2019,Новосибирская область,Лишен аккредитации
1,"{'автономная некоммерческая организация высшего и профессионального образования «Прикамский социальный институт»': ['Приказ от 22.07.2016 №1257', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1013-1113-130c-0d10-0a130e131210/1/>,{'Приказ о лишении ГА': 'Приказ от 21.08.2018 №1179'},Постоянное,22.07.2016,01.09.2016,5905020348,"614039, Пермский край, город Пермь, проспект Комсомольский, дом 57",Федеральная служба по надзору в сфере образования и науки,1025901221345,u2,автономная некоммерческая организация высшего и профессионального образования «Прикамский социальный институт»,2144,90А01 0002248,АНО ВПО «ПСИ»,22.07.2022,Пермский край,Лишен аккредитации
2,"{'Частное  образовательное учреждение высшего образования  «Восточно-Европейский институт»': ['Распоряжение от 05.07.2016 №1834-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1011-1213-130b-130f-130e120f0a0d/1/>,"{'Приказ о лишении ГА': 'Приказ от 29.12.2016 №2208', 'Распоряжение о переоформлении': 'Распоряжение от 05.07.2016 №1834-06'}",Постоянное,05.07.2016,01.09.2016,1832025471,"426008, Удмуртская Республика, г. Ижевск, ул. Пушкинская, 268",Федеральная служба по надзору в сфере образования и науки,1021801443575,u3,Частное  образовательное учреждение высшего образования  «Восточно-Европейский институт»,2079,90А01 0002179,ЧОУ ВО «Восточно-Европейский институт»,25.09.2021,Удмуртская Республика,Лишен аккредитации
3,"{'Образовательная автономная некоммерческая организация  высшего образования «Институт мировой экономики и финансов»': ['Распоряжение от 24.06.2016 №1711-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1011-0d11-0c10-0a12-0b0b0a0d130c/1/>,"{'Приказ о лишении ГА': 'Приказ от 29.08.2016 №1481', 'Распоряжение о переоформлении': 'Распоряжение от 24.06.2016 №1711-06'}",Постоянное,24.06.2016,16.08.2016,3015045169,"414000, г. Астрахань, ул.Бакинская, дом 149",Федеральная служба по надзору в сфере образования и науки,1023000823207,u4,Образовательная автономная некоммерческая организация  высшего образования «Институт мировой экономики и финансов»,2054,90А01 0002153,"ОАНО ВО ""ИМЭФ""",07.07.2021,Астраханская область,Лишен аккредитации
4,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e100e-0b10-1112-0c0e-0d0a100c0b10/1/>,{'Приказ о лишении ГА': 'Приказ от 01.10.2018 №1341'},Постоянное,10.05.2016,01.09.2016,6315702004,"443010, г. Самара, ул. Чапаевская, д. 186",Федеральная служба по надзору в сфере образования и науки,1026300961939,u5,Государственное бюджетное образовательное учреждение высшего образования Самарской области «Самарская государственная областная академия (Наяновой)»,1919,90А01 0002014,ГБОУ ВО СО СГОАН,30.06.2020,Самарская область,Лишен аккредитации
5,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/c80e2bc4-c41d-4e6f-9d5d-6db7954d3541/1/>,{'Приказ о лишении ГА': 'Приказ от 26.08.2016 №1467'},Постоянное,12.04.2016,17.08.2016,6664055128,"620000,область Свердловская, город Екатеринбург, переулок Центральный рынок, д.6",Федеральная служба по надзору в сфере образования и науки,1026605781267,u6,Частное образовательное учреждение высшего  образования «Уральский институт бизнеса и управления»,1840,90А01 0001934,ЧОУ ВО «Уральский институт бизнеса и управления»,02.02.2021,Свердловская область,Лишен аккредитации
6,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/441bd379-1efb-45ab-9497-11794e98e7cf/1/>,{'Приказ о лишении ГА': 'Приказ от 29.08.2016 №1487'},Постоянное,23.03.2016,17.08.2016,7717076493,"127322, г. Москва,  ул. Милашенкова, д. 11а",Федеральная служба по надзору в сфере образования и науки,1027739444490,,Частное учреждение высшего образования «Экономико-правовой институт»,1765,90А01 0001858,ЧУ ВО «Экономико-правовой институт»,16.02.2021,г. Москва,Лишен аккредитации
7,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e8f63c48-ef53-4b27-a061-07f695c0e493/1/>,{'Приказ о лишении ГА': 'Приказ от 24.06.2016 №1019'},Постоянное,15.02.2016,30.08.2016,7106069213,"Российская Федерация, 300012, г. Тула, ул. Оружейная, д. 5а",Федеральная служба по надзору в сфере образования и науки,1087100000250,,"Автономная некоммерческая организация высшего  образования «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»",1672,90А01 0001765,"АНО ВО «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»",08.07.2019,Тульская область,Лишен аккредитации
8,"{'Частное образовательное учреждение высшего  образования «Санкт-Петербургский медико-социальный институт»': ['Распоряжение от 30.12.2015 №3975-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d1c75290-2bdc-4a70-bc41-01ae48fe8445/1/>,"{'Приказ о лишении ГА': 'Приказ от 01.07.2016 №1096', 'Распоряжение о переоформлении': 'Распоряжение от 30.12.2015 №3975-06'}",Постоянное,30.12.2015,30.08.2016,7839301210,"195271, г. Санкт-Петербург, Кондратьевский проспект, д. 72",Федеральная служба по надзору в сфере образования и науки,1047855032631,u9,Частное образовательное учреждение высшего  образования «Санкт-Петербургский медико-социальный институт»,1598,90А01 0001691,ЧОУВО «СПбМСИ»,04.08.2021,г. Санкт-Петербург,Лишен аккредитации
9,"{'Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»': ['Распоряжение от 29.10.2015 №3361-06', 'Лишен аккредитации']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/d41649b6-e47f-435a-99f5-0900b7f96eb7/1/>,"{'Приказ о лишении ГА': 'Приказ от 21.01.2016 №62', 'Распоряжение о переоформлении': 'Распоряжение от 29.10.2015 №3361-06'}",Постоянное,29.10.2015,30.08.2016,7717284888,"129594, г. Москва, 5-й проезд Марьиной рощи, д. 15А",Федеральная служба по надзору в сфере образования и науки,1157700004648,u10,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,1507,90А01 0001598,АНО ВО «МАБиУ»,13.03.2020,г. Москва,Лишен аккредитации
